,Year,Capex,Capex (average start and conservative LR),Capex (average start and aggressive LR),Capex (max start and conservative LR),Capex (min start and aggressive LR),Capex percent reductions,LCOE,LCOE (max start and conservative LR),LCOE (min start and aggressive LR),LCOE percent reductions
0,2021,3186.238878745276,3186.238878745276,3186.2388787452755,3350.6318914635967,3021.8458660269553,0.0,75.07947384789227,78.55237991921224,72.42470305227992,0.0
1,2022,3015.2859619147143,3064.808840337054,2966.5633015859,3222.936707657271,2813.504382551128,0.05365351542564878,72.1563542283811,76.32002474692733,68.94278619035552,0.038933672143644515
2,2023,2900.3929022989987,2982.0552591979495,2820.9668354599726,3135.9134810099667,2675.4199212115486,0.0897126635272375,70.05759413323293,74.69489081974304,66.49016609664402,0.06688751874891208
3,2024,2814.62339573019,2919.6460090538158,2713.3785517920032,3070.2842448437164,2573.382621872895,0.11663139430444269,68.38708844402107,73.38904589937279,64.56567844722291,0.08913735087475017
4,2025,2746.59268394694,2869.7439071785343,2628.726330820131,3017.807459405636,2493.0980061460955,0.13798281030688653,66.97742244382754,72.2794071265404,62.95991068788513,0.10791300190088093
5,2026,2690.4498383396613,2828.28631294927,2559.330821452003,2974.210873382358,2427.2829366910732,0.155603223509988,65.74255778250463,71.302176484331,61.566164314898074,0.1243604355073642
6,2027,2642.802085730788,2792.9009156804414,2500.770014836482,2936.999777449798,2371.7435568401806,0.17055745463393834,64.63260375829775,70.4201034739028,60.322998256580775,0.1391441569071119
7,2028,2601.5123294784235,2762.0845846905586,2450.2748532541664,2904.593487362326,2323.8536775534235,0.18351623074071421,63.616134559150474,69.60958769071958,59.19193769968926,0.15268273339216554
8,2029,2565.150417902404,2734.8262837564857,2406.001692153831,2875.9288027945504,2281.864776551852,0.19492840445392257,62.6721200503403,68.85475639264199,58.14736571752938,0.1652562699452148
9,2030,2532.7139246844554,2710.4141625315497,2366.6640740613643,2850.2571457006047,2244.5567707381515,0.2051085869362611,61.785819804671995,68.14443485537677,57.171407123876676,0.1770610975531427
10,2031,2503.474015690307,2688.328569692075,2331.3304102386674,2827.032053506963,2211.0461364079815,0.21428552253553512,60.946516555881296,67.47046621243692,56.251117436777854,0.18823996183888725
11,2032,2476.884794578743,2668.1788663429134,2299.3054787305696,2805.8427324251056,2180.6735213686316,0.22263054063475396,60.14618311916505,66.82671919531522,55.37683638710315,0.1988997786396508
12,2033,2452.527199383998,2649.6641752867336,2270.0573604077263,2786.3727815914567,2152.934450694258,0.23027516369086865,59.37865738881103,66.20847178190431,54.5411727458294,0.20912262239464297
13,2034,2430.0727987541345,2632.547966118206,2243.170450547298,2768.37346688734,2127.434762659578,0.23732246977317517,58.63910996244973,65.61201212597963,53.73835144856997,0.21897281697458348
14,2035,2409.2595971439055,2616.6410174774364,2218.3141545437716,2751.645804135128,2103.860919585835,0.2438546860953944,57.92368835786558,65.03437103876432,52.96377863877523,0.22850167443612568
